Food_TPEN,Male_TPEN,Male_Zn,Female_TPEN,Female_Zn,Day1_egg,Day1_hatch,Day2_egg,Day2_hatch,Day3_egg,Day3_hatch,Mean_hatch,Mean_egg
50,0,0,0,0,21,0.952380952,22,1,25,1,0.985294118,22.66666667
50,0,0,0,0,16,1,17,1,21,1,1,18
50,0,0,0,0,26,1,21,1,20,0.95,0.985074627,22.33333333
50,0,0,0,0,16,0.875,20,0.9,28,1,0.9375,21.33333333
50,0,0,0,0,0,,0,,0,,,0
50,0,0,0,0,8,1,20,0.95,24,0.916666667,0.942307692,17.33333333
50,0,0,0,0,13,0.615384615,6,1,19,0.947368421,0.842105263,12.66666667
50,0,0,0,0,18,0.722222222,0,,0,,0.722222222,6
50,0,0,0,0,15,0.866666667,24,1,18,,0.912280702,19
50,0,0,0,0,22,0.772727273,17,1,30,1,0.927536232,23
50,0,0,50,0,45,0.933333333,0,,29,0.586206897,0.797297297,24.66666667
50,0,0,50,0,30,0.9,20,0.1,14,0.214285714,0.5,21.33333333
50,0,0,50,0,24,1,20,0.1,0,,0.590909091,14.66666667
50,0,0,50,0,3,0.666666667,44,0.727272727,19,0.052631579,0.53030303,22
50,0,0,50,0,23,0.782608696,25,0.24,9,0,0.421052632,19
50,0,0,50,0,20,0.8,19,0,0,,0.41025641,13
50,0,0,50,0,22,0.863636364,0,,0,,0.863636364,7.333333333
50,0,0,50,0,20,1,24,0.75,13,0.230769231,0.719298246,19
50,0,0,50,0,37,0.864864865,15,0,18,0,0.457142857,23.33333333
50,0,0,50,0,23,0.956521739,15,0.733333333,19,1,0.912280702,19
50,50,0,0,0,21,1,29,0.965517241,23,0.913043478,0.95890411,24.33333333
50,50,0,0,0,26,1,26,1,22,0.954545455,0.986486486,24.66666667
50,50,0,0,0,12,0.833333333,0,,26,0.923076923,0.894736842,12.66666667
50,50,0,0,0,16,0.875,19,0.578947368,22,0,0.438596491,19
50,50,0,0,0,22,1,10,1,33,0.939393939,0.969230769,21.66666667
50,50,0,0,0,24,1,31,0.967741935,31,0.903225806,0.953488372,28.66666667
50,50,0,0,0,30,0.933333333,26,0.923076923,25,1,0.950617284,27
50,50,0,0,0,30,1,11,1,35,0.828571429,0.921052632,25.33333333
50,50,0,0,0,32,1,23,1,0,,1,18.33333333
50,50,0,0,0,40,1,0,,40,1,1,26.66666667
50,50,0,50,0,17,0.764705882,12,0.666666667,0,,0.724137931,9.666666667
50,50,0,50,0,21,0.952380952,13,0,0,,0.588235294,11.33333333
50,50,0,50,0,14,1,23,0.086956522,13,0.230769231,0.38,16.66666667
50,50,0,50,0,10,0.9,0,,37,0.513513514,0.595744681,15.66666667
50,50,0,50,0,32,0.9375,22,0,19,0,0.410958904,24.33333333
50,50,0,50,0,17,0.823529412,29,0.068965517,14,0.357142857,0.35,20
50,50,0,50,0,13,0.846153846,0,,33,0.515151515,0.608695652,15.33333333
50,50,0,50,0,20,1,35,0.114285714,20,0,0.32,25
50,50,0,50,0,3,0.666666667,36,0.805555556,22,0,0.508196721,20.33333333
100,0,0,0,0,20,1,24,1,16,0.9375,0.983333333,20
100,0,0,0,0,25,0.84,25,0.72,16,0.625,0.742424242,22
100,0,0,0,0,14,1,13,1,13,1,1,13.33333333
100,0,0,0,0,28,0.928571429,22,1,0,,0.96,16.66666667
100,0,0,0,0,30,0.366666667,0,,0,,,10
100,0,0,0,0,21,0.857142857,24,1,30,0.833333333,0.893333333,25
100,0,0,0,0,11,0.909090909,7,1,4,1,0.954545455,7.333333333
100,0,0,0,0,33,0.96969697,23,0.956521739,15,,0.957746479,23.66666667
100,0,0,0,0,23,0.913043478,16,1,18,0.888888889,0.929824561,19
100,0,0,100,0,11,0,0,,4,0,0,5
100,0,0,100,0,4,0.25,4,0,3,0,0.090909091,3.666666667
100,0,0,100,0,7,0,4,0,0,,0,3.666666667
100,0,0,100,0,5,0.4,5,0.4,2,0,0.333333333,4
100,0,0,100,0,11,0.181818182,0,,6,0,0.117647059,5.666666667
100,0,0,100,0,7,0.428571429,5,0,5,0,0.176470588,5.666666667
100,0,0,100,0,6,0.5,4,0,0,,0.3,3.333333333
100,0,0,100,0,16,0.3125,2,0,6,0,0.208333333,8
100,0,0,100,0,8,0,5,0,5,0,0,6
100,100,0,0,0,22,0.909090909,0,,0,,0.909090909,7.333333333
100,100,0,0,0,16,0.9375,15,0.933333333,0,,0.935483871,10.33333333
100,100,0,0,0,11,1,17,1,16,0.875,0.954545455,14.66666667
100,100,0,0,0,0,,0,,0,,,0
100,100,0,0,0,16,0.8125,15,1,21,0.80952381,0.865384615,17.33333333
100,100,0,0,0,5,0,0,,2,0,0,2.333333333
100,100,0,0,0,13,1,12,0.916666667,19,1,0.977272727,14.66666667
100,100,0,0,0,13,1,14,0.928571429,21,0.904761905,0.9375,16
100,100,0,0,0,14,0.857142857,14,1,18,,0.956521739,15.33333333
100,100,0,0,0,20,0.9,9,1,23,0.913043478,0.923076923,17.33333333
100,100,0,100,0,4,0,8,0,4,0,0,5.333333333
100,100,0,100,0,1,0,3,0,12,0,0,5.333333333
100,100,0,100,0,3,1,7,0,4,0,0.214285714,4.666666667
100,100,0,100,0,5,0,0,,13,0,0,6
100,100,0,100,0,16,0.0625,13,0,7,0,0.027777778,12
100,100,0,100,0,11,0,9,0,6,0,0,8.666666667
100,100,0,100,0,13,0.076923077,14,0,9,0,0.027777778,12
100,100,0,100,0,16,0.0625,8,0,9,0,0.03030303,11
100,100,0,100,0,6,0.666666667,6,0,4,0,0.25,5.333333333
100,100,0,100,0,6,0,6,0,5,0,0,5.666666667
50,0,0,0,0,22,1,34,0.852941176,24,1,0.9375,26.66666667
50,0,0,0,0,27,1,32,0.9375,22,1,0.975308642,27
50,0,0,0,0,25,1,20,1,22,0.954545455,0.985074627,22.33333333
50,0,0,0,0,26,1,21,1,8,0.75,0.963636364,18.33333333
50,0,0,50,0,39,0.923076923,28,0.071428571,26,0.038461538,0.419354839,31
50,0,0,50,0,26,0.961538462,25,0.84,16,1,0.925373134,22.33333333
50,0,0,50,0,33,0.848484848,31,0.548387097,25,0.4,0.617977528,29.66666667
50,0,0,50,0,28,0.964285714,23,0.739130435,23,0.043478261,0.608108108,24.66666667
50,0,0,50,0,31,0.967741935,26,0.346153846,29,0.586206897,0.651162791,28.66666667
50,50,0,0,0,30,0.833333333,31,1,26,0.923076923,0.91954023,29
50,50,0,0,0,30,0.9,0,,33,0.909090909,0.904761905,21
50,50,0,0,0,28,1,17,1,16,0.875,0.967213115,20.33333333
50,50,0,0,0,32,0.96875,17,1,20,1,0.985507246,23
50,50,0,50,0,31,1,23,0.956521739,19,0.473684211,0.849315068,24.33333333
50,50,0,50,0,31,0.935483871,22,0.863636364,23,0,0.631578947,25.33333333
50,50,0,50,0,29,1,19,0.894736842,2,1,0.96,16.66666667
50,50,0,50,0,28,0.857142857,19,0.684210526,20,0.65,0.746268657,22.33333333
50,50,0,50,0,33,0.818181818,19,0.947368421,27,0.222222222,0.64556962,26.33333333
50,0,0,50,50,20,0.8,21,1,22,0.954545455,0.920634921,21
50,0,0,50,50,21,0.857142857,26,1,28,0.964285714,0.946666667,25
50,0,0,50,50,25,1,33,0.848484848,19,1,0.935064935,25.66666667
50,0,0,50,50,33,0.909090909,30,1,27,1,0.966666667,30
50,0,0,50,50,32,0.71875,26,1,18,1,0.881578947,25.33333333
50,0,0,50,50,24,0.708333333,19,1,17,1,0.883333333,20
50,0,0,50,50,20,0.6,0,,14,0,0.352941176,11.33333333
50,0,0,50,50,28,0.892857143,23,1,34,0.882352941,0.917647059,28.33333333
50,0,0,50,50,22,0.909090909,23,0.913043478,30,0.933333333,0.92,25
50,50,50,0,0,25,0.92,35,0.971428571,24,1,0.964285714,28
50,50,50,0,0,31,0.967741935,32,0.9375,24,0.958333333,0.954022989,29
50,50,50,0,0,20,0.85,25,0.88,24,1,0.913043478,23
50,50,50,0,0,25,0.96,30,1,23,0.956521739,0.974358974,26
50,50,50,0,0,31,1,17,0.941176471,11,0.818181818,0.949152542,19.66666667
50,50,50,0,0,23,1,25,0.88,27,1,0.96,25
50,50,50,0,0,29,0.965517241,34,0.941176471,11,1,0.959459459,24.66666667
50,50,50,0,0,21,0.761904762,22,0.954545455,16,0.9375,0.881355932,19.66666667
50,50,50,0,0,21,0.857142857,0,,35,1,0.946428571,18.66666667
50,50,50,0,0,29,0.827586207,35,1,22,0.863636364,0.906976744,28.66666667
50,50,50,50,50,35,0.8,24,1,23,0.869565217,0.87804878,27.33333333
50,50,50,50,50,30,0.833333333,32,0.9375,9,0.777777778,0.873239437,23.66666667
50,50,50,50,50,30,1,16,1,37,0.972972973,0.987951807,27.66666667
50,50,50,50,50,38,0.894736842,34,0.911764706,35,0.885714286,0.897196262,35.66666667
50,50,50,50,50,30,0.966666667,26,1,33,1,0.988764045,29.66666667
50,50,50,50,50,29,1,28,1,30,0.933333333,0.977011494,29
50,50,50,50,50,22,0.954545455,34,0.970588235,22,0.818181818,0.923076923,26
50,50,50,50,50,38,0.894736842,31,1,26,0.961538462,0.947368421,31.66666667
50,50,50,50,50,35,0.971428571,25,1,27,0.814814815,0.931034483,29
50,50,50,50,50,24,0.875,30,1,17,0.941176471,0.943661972,23.66666667
100,0,0,0,0,25,0.88,32,0.9375,23,0.869565217,0.9,26.66666667
100,0,0,0,0,24,0.958333333,26,0.961538462,16,0.9375,0.954545455,22
100,0,0,0,0,26,0.961538462,20,0.95,17,1,0.968253968,21
100,0,0,0,0,16,1,28,0.928571429,12,0.916666667,0.946428571,18.66666667
100,0,0,0,0,8,0,4,0,8,0,0,6.666666667
100,0,0,100,0,20,0,7,0,7,0,0,11.33333333
100,0,0,100,0,22,0,14,0,4,0,0,13.33333333
100,0,0,100,0,14,1,7,0,6,0,0.518518519,9
100,0,0,100,0,19,0.052631579,11,0,0,,0.033333333,10
100,0,0,100,0,17,0.235294118,6,0,3,0,0.153846154,8.666666667
100,100,0,0,0,15,0.8,22,0.863636364,21,0.857142857,0.844827586,19.33333333
100,100,0,0,0,14,1,20,0.9,25,0.84,0.898305085,19.66666667
100,100,0,0,0,12,0.833333333,15,0.866666667,19,0.894736842,0.869565217,15.33333333
100,100,0,0,0,29,0.896551724,18,0.888888889,15,0.866666667,0.887096774,20.66666667
100,100,0,0,0,31,0.870967742,19,0.736842105,22,0.863636364,0.833333333,24
100,100,0,100,0,14,0.142857143,8,0,3,0,0.08,8.333333333
100,100,0,100,0,9,0.111111111,7,0.142857143,4,0,0.1,6.666666667
100,100,0,100,0,12,0,7,0,5,0,0,8
100,100,0,100,0,10,0,6,0,6,0,0,7.333333333
100,100,0,100,0,3,0,0,,9,0,0,4
100,0,0,100,100,33,0.878787879,31,0.870967742,19,0.947368421,0.891566265,27.66666667
100,0,0,100,100,31,0.903225806,25,0.92,20,1,0.934210526,25.33333333
100,0,0,100,100,31,0.870967742,25,0.76,26,0.884615385,0.841463415,27.33333333
100,0,0,100,100,19,1,24,0.958333333,22,0.818181818,0.923076923,21.66666667
100,0,0,100,100,26,0.923076923,28,0.928571429,21,0.857142857,0.906666667,25
100,0,0,100,100,27,0.962962963,1,1,46,1,0.986486486,24.66666667
100,0,0,100,100,25,0.96,12,0.916666667,17,0.823529412,0.907407407,18
100,0,0,100,100,19,1,21,0.904761905,18,0.888888889,0.931034483,19.33333333
100,0,0,100,100,26,0.961538462,13,0.923076923,20,1,0.966101695,19.66666667
100,100,100,0,0,13,0.923076923,18,0.888888889,0,,0.903225806,10.33333333
100,100,100,0,0,21,0.952380952,25,0.92,19,0.789473684,0.892307692,21.66666667
100,100,100,0,0,19,0.684210526,21,0.857142857,17,0.941176471,0.824561404,19
100,100,100,0,0,23,1,20,0.9,20,0.85,0.920634921,21
100,100,100,0,0,24,0.875,20,0.75,16,1,0.866666667,20
100,100,100,0,0,24,0.958333333,18,1,23,0.956521739,0.969230769,21.66666667
100,100,100,0,0,19,1,31,1,27,0.925925926,0.974025974,25.66666667
100,100,100,0,0,29,0.862068966,23,0.782608696,27,0.925925926,0.860759494,26.33333333
100,100,100,0,0,34,0.676470588,28,0.785714286,26,0.846153846,0.761363636,29.33333333
100,100,100,0,0,14,0.928571429,29,0.896551724,18,0.944444444,0.918032787,20.33333333
100,100,100,100,100,26,0.923076923,32,0.96875,26,0.884615385,0.928571429,28
100,100,100,100,100,22,0.818181818,24,0.625,25,0.88,0.774647887,23.66666667
100,100,100,100,100,27,0.962962963,0,,38,0.921052632,0.938461538,21.66666667
100,100,100,100,100,1,0,4,1,0,,0.8,1.666666667
100,100,100,100,100,12,1,7,0.714285714,45,0.933333333,0.921875,21.33333333
100,100,100,100,100,26,0.884615385,31,0.935483871,24,1,0.938271605,27
100,100,100,100,100,16,1,31,1,23,1,1,23.33333333
100,100,100,100,100,18,1,24,1,27,1,1,23
100,100,100,100,100,20,1,28,0.928571429,20,1,0.970588235,22.66666667
100,100,100,100,100,24,0.916666667,33,0.939393939,27,1,0.952380952,28